path_id,level_1,level_2,level_3,hierarchy_path,definition,include_when,exclude_when,required_subject_terms,required_focus_terms,alternative_standalone_cues,supporting_terms_from_old_ontology,prompt_logic_note
V3_035,Industry and governance,Governance and policy,"Compliance, enforcement and participation","Industry and governance > Governance and policy > Compliance, enforcement and participation","Compliance, enforcement, inspection or stakeholder participation in governance.",Use when governance implementation or decision processes are substantive.,Do not use stakeholder interviews merely as a method.,"Compliance, enforcement and participation, Enforcement, inspection, participation",,,"Enforcement, inspection, participation","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_036,Inputs and resources,Feed-resource supply,Marine feed resources,Inputs and resources > Feed-resource supply > Marine feed resources,"Upstream production, sourcing, availability or trade of marine ingredients used in salmon feed.","Use when fishmeal, fish oil, forage fisheries or marine ingredient supply is itself a substantive focus.",Do not use for feeding trials evaluating effects on salmon; use Production > Feed and nutrition.,"Marine feed resources, Fishmeal and fish-oil supply, forage fisheries, marine ingredient availability",,,"Fishmeal and fish-oil supply, forage fisheries, marine ingredient availability","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_037,Inputs and resources,Feed-resource supply,Crop-based feed resources,Inputs and resources > Feed-resource supply > Crop-based feed resources,"Upstream production, sourcing or availability of crop ingredients used in salmon feed.","Use when soy, cereals, oilseeds or vegetable oils are studied as upstream resources or supply chains.",Do not use for salmon feeding trials.,"Crop-based feed resources, Soy supply, rapeseed oil sourcing, crop-feed dependency",,,"Soy supply, rapeseed oil sourcing, crop-feed dependency","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_038,Inputs and resources,Feed-resource supply,Novel feed resources,Inputs and resources > Feed-resource supply > Novel feed resources,Upstream production or sourcing of emerging feed resources.,"Use when insects, algae, microbial biomass, single-cell protein or by-products are studied as supply resources.",Do not use for feeding trials unless the upstream resource system is also a substantive focus.,"Novel feed resources, Insect production, algal biomass supply, fermentation-derived protein",,,"Insect production, algal biomass supply, fermentation-derived protein","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_039,Inputs and resources,Farm inputs,Water supply,Inputs and resources > Farm inputs > Water supply,"Availability, sourcing or provision of water required for salmon production.",Use when water availability or supply is itself the research question.,Do not use for water-quality impacts or routine husbandry conditions.,"Water supply, Freshwater availability, water demand, water sourcing",,,"Freshwater availability, water demand, water sourcing","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_040,Inputs and resources,Farm inputs,Energy supply,Inputs and resources > Farm inputs > Energy supply,"Availability, sourcing or provision of energy used by salmon aquaculture.",Use when energy inputs or dependence are studied as resources.,Do not use for carbon footprints; use Environment > Resource use and footprint.,"Energy supply, Electricity supply, fuel dependency, energy security",,,"Electricity supply, fuel dependency, energy security","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_041,Inputs and resources,Farm inputs,Therapeutants and chemicals,Inputs and resources > Farm inputs > Therapeutants and chemicals,"Production, sourcing or availability of medicines, disinfectants and treatment chemicals.",Use when access to or supply of therapeutants is the substantive focus.,Do not use for treatment efficacy; use Production > Fish health.,"Therapeutants and chemicals, Medicine availability, chemical supply, treatment-input constraints",,,"Medicine availability, chemical supply, treatment-input constraints","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_042,Inputs and resources,Farm inputs,Infrastructure and equipment,Inputs and resources > Farm inputs > Infrastructure and equipment,"Provision, availability or supply of physical infrastructure and equipment.",Use when infrastructure or equipment supply is analysed as an input to the sector.,Do not use for performance of a production system or technology.,"Infrastructure and equipment, Cage supply, pumps, sensors, farm infrastructure",,,"well boat, slaughter boat, pontoon, harvest boat, harvester, Cage supply, pumps, sensors, farm infrastructure","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_043,Inputs and resources,Circularity,By-products and waste as inputs,Inputs and resources > Circularity > By-products and waste as inputs,"Use of by-products, recovered materials or waste streams as production inputs.",Use when circular use or valorisation is a substantive objective.,Do not use merely because an alternative ingredient is evaluated in feed.,"By-products and waste as inputs, Fish-processing by-products, food waste, waste valorisation",,,"salmon waste, salmon residue, salmon silage, fish silage, industry waste, industry by-product, salmon by-product, farm residue, farm by-product, industry byproduct, salmon byproduct, farm byproduct, industry by product, salmon by product, farm by product, waste reuse, waste valorisation, waste valorization, fish residual, fish industry residual, salmon peptone, salmon bone waste, residual material, fish heads, trimmings, frames, salmon heads, trout heads, Fish-processing by-products, food waste","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_044,Inputs and resources,Circularity,Nutrient recovery,Inputs and resources > Circularity > Nutrient recovery,Recovery and reuse of nutrients from salmon aquaculture or connected systems.,Use when nutrient capture and reuse are central.,Do not use for routine effluent treatment without recovery or reuse.,"Nutrient recovery, Sludge nutrients, phosphorus recovery, nutrient recycling",,,"Sludge nutrients, phosphorus recovery, nutrient recycling","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_045,Inputs and resources,Circularity,Resource efficiency,Inputs and resources > Circularity > Resource efficiency,System-level reduction in material or input demand through circular or efficiency strategies.,Use when reduced input dependency or circular resource efficiency is the main question.,Do not use routine feed conversion or farm productivity studies.,"Resource efficiency, Circular economy, reduced virgin inputs, closed-loop production",,,"Circular economy, reduced virgin inputs, closed-loop production","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_046,Methods,Methodological research,Diagnostic and laboratory methods,Methods > Methodological research > Diagnostic and laboratory methods,"Development, validation, comparison or review of diagnostic or laboratory methods.",Use only when the method itself is the principal contribution.,"Never use merely because a study uses PCR, assays or laboratory procedures.","Diagnostic and laboratory methods, Assay validation, diagnostic-method comparison","method development, validation, comparison, performance assessment",,"Assay validation, diagnostic-method comparison","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
