lens_id,historical_decision,model_decision,category,model_reason
"014-729-418-397-880","","retain","new_retain","The abstract explicitly concerns salmon aquaculture/farmed salmon, including escapes and sea lice, and evaluates its environmental, Indigenous, and economic impacts on Sami communities."
"014-791-137-277-353","","retain","new_retain","The correction explicitly concerns farmed Atlantic and coho salmon, and the study is linked to aquaculture through its farmed-salmon subject and aquaculture-focused affiliations; corrections to eligible studies are retained."
"014-822-854-105-131","","exclude","new_exclude","The record concerns Salvelinus (charr), none of which are eligible species, and mentions aquaculture only as a general symposium theme."
"014-961-227-123-314","","exclude","new_exclude","Although the record concerns salmonid aquaculture, the study identifies the affected fish only as generic salmonids and does not specify an eligible salmon or rainbow trout species."
"015-081-418-161-20X","","exclude","new_exclude","Rainbow trout is mentioned, but the review does not establish that the products are farmed or connected to commercial aquaculture."
"015-702-112-988-49X","","retain","new_retain","The abstract explicitly concerns sustainable aquaculture feed ingredients and states that microbial ingredients support the growth of Atlantic salmon, with aquafeed development linked to commercial partners including BioMar AS."
"015-792-996-631-665","","exclude","new_exclude","Although rainbow trout is explicitly studied, the record provides no evidence of commercial aquaculture or farming context."
"015-879-684-943-282","","retain","new_retain","The abstract explicitly concerns an intensive trout farm and rainbow trout, with aquaculture waste and stocking-density impacts assessed."
"016-048-451-894-730","","retain","new_retain","The abstract explicitly identifies cultured salmon and aquaculture feed/pigment uses of squat lobsters, establishing eligible salmon aquaculture relevance."
"016-168-478-814-725","","exclude","new_exclude","Although rainbow trout is an eligible species, the study concerns wild fish in a recreational Kootenay Lake fishery and provides no commercial aquaculture connection."
"016-229-013-967-832","","retain","new_retain","The record explicitly identifies rainbow trout as 96.5% of Greece’s inland aquaculture production and reviews its farming context."
"016-503-167-433-840","","exclude","new_exclude","The study concerns generic salmonid fish and fish-farm antibiotics but does not identify an eligible salmon species or rainbow trout, and pathogen evidence cannot establish species eligibility."
"016-774-485-810-642","","exclude","new_exclude","The record concerns cannabis agriculture and mentions only generic salmonid species as environmental receptors, with no commercial salmon or rainbow-trout aquaculture context."
"016-988-736-023-55X","","retain","new_retain","The record explicitly studies farmed rainbow trout in commercial floating-cage trout farming, including feed waste and aquaculture infrastructure in Lake Titicaca."
"017-068-168-478-939","","exclude","new_exclude","The abstract concerns generic salmonid aquaculture and sea lice but does not identify an eligible salmon or rainbow trout species or explicitly reference salmon farming."
"017-095-817-174-77X","","exclude","new_exclude","The record concerns shark/elasmobranch stress physiology, while salmonids and aquaculture are mentioned only as general background, so neither an eligible species study nor a substantive salmon aquaculture connection is established."
"017-278-542-690-397","","retain","new_retain","The study explicitly examines rainbow trout in extensive, semi-intensive, and intensive cultivation systems at three farms, establishing both eligible species and commercial aquaculture context."
"017-345-449-896-662","","exclude","new_exclude","Although the study clearly concerns recirculating aquaculture and hatchery production, the fish are identified only as generic “salmonids,” not an eligible species."
"017-375-005-447-206","","exclude","new_exclude","The study concerns experimental flow in generic salmonid spawning nests, with no eligible species or commercial aquaculture context established."
"017-404-768-956-236","","exclude","new_exclude","The record is a film review with no evidence of an eligible salmon or rainbow trout species or commercial aquaculture context."
"017-576-453-489-152","","retain","new_retain","The study explicitly concerns rainbow trout triploid progeny and aquaculture production, with affiliation to the SYSAAF Aquaculture Breeders Technical Centre."
"017-851-949-732-738","","exclude","new_exclude","The study concerns wild river ichthyofauna and mentions private farms only as incidental sources of introduced fish; it does not study eligible salmon/rainbow trout or commercial aquaculture."
"018-129-929-116-960","","exclude","new_exclude","Although the record concerns fish culture, the relevant fish are identified only generically as “salmonids,” with no eligible salmon or rainbow trout species specified."
"018-186-980-008-018","","retain","new_retain","The record explicitly studies rainbow trout fingerlings in a fish-farming/aquaculture context, evaluating a feed additive for production-related health and productivity."
"018-464-022-378-362","","retain","new_retain","The record explicitly studies rainbow trout (Oncorhynchus mykiss) and functional feed additives in commercially important aquaculture species, directly establishing eligible species and aquaculture context."
"018-712-713-387-09X","","retain","new_retain","The abstract explicitly concerns Chilean salmonid farming/aquaculture and salmon production, with sea-lice treatment resistance studied in that aquaculture context."
"018-873-892-321-383","","retain","new_retain","The record explicitly concerns rainbow trout and states that the Chalhuanca River is used for rainbow trout aquaculture, linking the health and pollution assessment to aquaculture context."
"019-364-310-718-42X","","exclude","new_exclude","The record discusses generic salmonids and aquaculture enterprises but does not identify an eligible salmon or rainbow trout species."
"019-525-738-552-648","","exclude","new_exclude","Although aquaculture is explicit, the record identifies relevant fish only generically as “Salmonidae” and does not specify an eligible salmon or rainbow trout species."
"019-572-490-513-099","","retain","new_retain","The record explicitly concerns Atlantic salmon smolts, aquaculture feed additives, and disease resistance in an aquaculture context."
"019-930-132-966-108","","retain","new_retain","The title explicitly identifies rainbow trout (Oncorhynchus mykiss) farms and examines streptococcosis incidence in that farming context."
"020-042-654-583-278","","exclude","new_exclude","The study concerns Clupea harengus fibroblast culture, while rainbow trout is mentioned only as prior research and no commercial aquaculture context is provided."
"020-207-926-103-817","","retain","new_retain","The title and abstract explicitly identify farmed rainbow trout (Oncorhynchus mykiss) and address genetic resistance and tolerance relevant to aquaculture breeding."
"020-573-912-852-008","","retain","new_retain","The study explicitly examines Atlantic salmon (Salmo salar) post-smolts and swimming capacity in expanding aquaculture operations, directly linking the research to welfare in aquaculture."
"020-618-844-718-814","","retain","new_retain","The study explicitly concerns rainbow trout and infection in trout farms, establishing both eligible species and aquaculture context."
"021-238-998-500-668","","exclude","new_exclude","The study concerns threespine sticklebacks and mentions only generic salmonids transplanted for aquaculture, without identifying an eligible salmon species or evaluating salmon aquaculture itself."
"021-329-737-246-597","","exclude","new_exclude","Although the review concerns salmonid aquaculture, it identifies the affected fish only generically as “salmonids” and no eligible species is specified."
"021-402-611-545-899","","exclude","new_exclude","Although aquaculture context is explicit, the record refers only to the generic “salmonid industry” and does not identify an eligible salmon or rainbow trout species."
"021-738-743-978-046","","retain","new_retain","The study explicitly includes rainbow trout as a substrate and evaluates black soldier fly larvae as a potential feed alternative for aquaculture."
"022-026-898-832-448","","retain","new_retain","The corrigendum explicitly concerns Atlantic salmon (Salmo salar), and its source journal is Aquaculture; corrigenda to otherwise eligible aquaculture studies are retained."
"022-185-363-752-562","","retain","new_retain","The abstract explicitly identifies rainbow trout production in fish farms and evaluates environmental impacts of rainbow trout cage aquaculture on water and sediment chemistry."
"022-304-267-560-826","","retain","new_retain","The title explicitly identifies rainbow trout and commercial strains, while the Aquaculture journal and commercial-strain context support relevance to farmed aquaculture."
"022-439-923-124-941","","retain","new_retain","The record explicitly concerns farmed rainbow trout at an inland trout farm and evaluates wastewater pollution and ecological impacts downstream."
"022-492-468-221-880","","retain","new_retain","The record explicitly concerns smoked salmon by-product-derived fishmeal and fish oil used in feeds within a recirculating aquaculture system, establishing eligible salmon/fishmeal relevance and aquaculture context."
"023-178-085-755-739","","retain","new_retain","The record explicitly concerns rainbow trout (Oncorhynchus mykiss) and aquaculture nutrition, including plant-based aquaculture feeds and fishmeal substitution."
"023-233-144-847-684","","retain","new_retain","The abstract explicitly concerns farmed rainbow trout and a sustainable aquaculture-to-catering supply chain."
"023-259-011-737-612","","retain","new_retain","The abstract explicitly studies trout farm populations, establishing eligible rainbow trout and a direct aquaculture context."
"023-359-339-700-045","","exclude","new_exclude","Although eligible Pacific salmon species are identified, the study concerns salmon collected from seas, bays, islands, and streams, with hatcheries only as sampling locations, and does not establish commercial aquaculture relevance."
"023-404-909-649-430","","retain","new_retain","The abstract explicitly identifies rainbow trout (Oncorhynchus mykiss) and evaluates effluents from three trout farms with quantified annual production, establishing direct commercial aquaculture relevance."
"023-914-178-935-985","","exclude","new_exclude","The study concerns brown trout (Salmo trutta) and population restoration through juvenile release into rivers, not an eligible species or commercial aquaculture."
"024-013-828-054-273","","exclude","new_exclude","The study concerns brook trout (Salvelinus fontinalis), which is not an eligible species, despite explicit intensive aquaculture context."
"024-243-411-006-878","","exclude","new_exclude","The study tests astaxanthin in rabbits; salmonids reared in aquaculture are mentioned only as background, without an eligible species or substantive aquaculture focus."
"024-648-677-681-876","","exclude","new_exclude","Rainbow trout is explicit, but the record concerns commercial hot-smoking and food safety without establishing that the fish were farmed or derived from aquaculture."
"024-976-520-878-665","","retain","new_retain","The abstract and keywords explicitly identify farmed Atlantic salmon and analyze its food composition, establishing both eligible species and aquaculture context."
"025-186-502-509-743","","exclude","new_exclude","Although rainbow trout is the eligible species, the study uses trout hepatocytes for chemical biotransformation modeling and provides no commercial aquaculture or farming context."
"025-507-553-792-504","","exclude","new_exclude","Although juvenile coho salmon (Oncorhynchus kisutch) are studied, the record concerns ocean alkalinity enhancement exposure and provides no commercial aquaculture or salmon-farming context."
"025-849-089-888-27X","","retain","new_retain","The record explicitly studies rainbow trout in a feeding trial involving farmed fish and dietary protein sources, establishing both eligible species and aquaculture-production relevance."
"025-940-742-087-81X","","exclude","new_exclude","Although the study concerns aquaculture and the salmonid sector, it identifies the relevant fish only as generic “salmonids” and does not specify an eligible salmon or rainbow trout species."
"025-984-864-383-259","","exclude","new_exclude","The record concerns ornamental fish trade biosecurity and mentions only generic salmonids, with no eligible salmon/rainbow trout species or salmon aquaculture context established."
"026-157-883-909-452","","retain","new_retain","The abstract explicitly identifies rainbow trout and connects the study to aquaculture broodstock management and selective breeding."
"026-286-185-917-27X","","retain","new_retain","The title and abstract explicitly identify rainbow trout products and state they are from European aquaculture, establishing both eligible species and commercial aquaculture relevance."
"026-441-701-589-952","","exclude","new_exclude","The study concerns farmed salmonids/trout but does not identify an eligible species such as rainbow trout or salmon, so the species criterion is not met."
"026-643-689-888-751","","retain","new_retain","The record explicitly concerns commercially reared rainbow trout (Oncorhynchus mykiss) and bacterial gill disease outbreaks in Ontario hatcheries, establishing both eligible species and aquaculture context."
"026-734-674-242-599","","retain","new_retain","Rainbow trout are explicitly studied as reared fish, and the record discusses soy-containing diets and reproductive efficiency under fish-farm conditions."
"026-887-413-766-690","","exclude","new_exclude","Although aquaculture feed use is explicit, the study identifies the target fish only as generic “salmonid fish,” with no eligible species specified."
"026-930-727-548-777","","exclude","new_exclude","Rainbow trout are identified, but the study is a laboratory feeding-preference experiment with no commercial aquaculture or farming context."
"027-276-700-196-102","","exclude","new_exclude","The study concerns brook trout (Salvelinus fontinalis), which is not an eligible species; generic Salmonidae and aquaculture terminology do not satisfy the species criterion."
"027-712-520-892-432","","retain","new_retain","The title concerns sustainably farmed fish and the keywords explicitly identify salmon farming and aquaculture, establishing relevant farmed-salmon context."
"027-756-305-296-034","","exclude","new_exclude","Although fall Chinook salmon is an eligible species, pen rearing and imprinting without evidence of commercial aquaculture does not establish inclusion and is consistent with hatchery or release-oriented rearing."
"027-957-761-354-921","","exclude","new_exclude","The record discusses aquaculture hybrids broadly and mentions only generic salmonids, without identifying an eligible salmon or rainbow trout species or explicitly concerning salmon farming."
"028-122-183-265-935","","exclude","new_exclude","The study concerns farmed salmonids but does not identify an eligible species such as salmon or rainbow trout; generic salmonid terminology is insufficient for a direct study."
"028-220-844-962-113","","exclude","new_exclude","The study mentions only generic salmonids, not an eligible salmon or rainbow trout species, and provides no commercial aquaculture context."
"028-263-404-258-464","","retain","new_retain","The editorial explicitly discusses rainbow trout treated with florfenicol and identifies its use in Atlantic salmon aquaculture, establishing eligible species and aquaculture relevance."
"028-336-481-012-518","","exclude","new_exclude","The study concerns sea trout (Salmo trutta), which is not an eligible species, and its hatchery/fish-farm setting does not establish eligible salmon or rainbow-trout aquaculture."
"028-392-673-973-811","","retain","new_retain","The title explicitly identifies salmon aquaculture, establishing both eligible salmon context and commercial aquaculture relevance."
"028-501-510-474-540","","exclude","new_exclude","The study concerns farmed European eel, not an eligible salmon or rainbow trout species; salmon appears only as the source of a pituitary extract."
"028-743-630-795-439","","retain","new_retain","The record explicitly studies farmed rainbow trout (Oncorhynchus mykiss) fed commercial aquaculture feed and challenged experimentally in an aquaculture context."
"029-170-991-880-066","","exclude","new_exclude","The study concerns brook charr (Salvelinus fontinalis), an ineligible species; the generic reference to salmonid fishes does not satisfy the eligible-species criterion."
"029-475-141-023-188","","exclude","new_exclude","Rainbow trout is explicitly studied, but the record provides no evidence of commercial aquaculture or farmed production context."
"029-673-149-688-050","","retain","new_retain","The study explicitly examines rainbow trout fed pelleted experimental diets, establishing an eligible species and production-related aquaculture context."
"029-814-405-002-30X","","exclude","new_exclude","The study concerns salmonid aquaculture, but the fish are identified only as generic salmonids/trout, with no eligible salmon or rainbow trout species specified."
"029-856-853-831-019","","retain","new_retain","The title and abstract explicitly identify farmed rainbow trout and 38 brackish-water rainbow trout net-pen farmers, with the study addressing vibriosis vaccination purchasing and willingness-to-pay."
"029-975-569-393-738","","retain","new_retain","The abstract explicitly identifies rainbow trout (Parasalmo mykiss, a historical synonym of Oncorhynchus mykiss) and evaluates a probiotic feed additive for aquaculture and fish farming."
"030-120-879-251-278","","exclude","new_exclude","The study concerns aquaculture water-quality testing but mentions only generic salmonids as an example, with no eligible salmon or rainbow trout species identified."
"030-406-112-652-504","","exclude","new_exclude","The study concerns channel catfish aquaculture; rainbow trout appears only as an antibody source/comparative microsome material, not as the aquacultured study species or salmon-farming context."
"030-623-059-869-608","","retain","new_retain","The study explicitly examines rainbow trout (Oncorhynchus mykiss) fillets sourced from a culture farm, establishing both eligible species and aquaculture context."
"030-698-677-642-087","","exclude","new_exclude","Although the record clearly concerns intensive fish farming and pollution, the relevant fish are identified only generically as “salmonids,” with no eligible salmon or rainbow trout species specified."
"030-803-576-215-555","","retain","new_retain","The record explicitly concerns rainbow trout and states that producing sterile all-female triploids has considerable potential for aquaculture."
"031-208-844-373-18X","","retain","new_retain","The record explicitly concerns aquacultured rainbow trout and immersion vaccination, establishing both an eligible species and aquaculture context despite using zebrafish as the model organism."
"031-524-496-905-42X","","exclude","new_exclude","The study concerns cultured white suckers (Catostomus commersoni), not an eligible salmon or rainbow trout species; the salmonid diet does not establish an eligible study species."
"031-594-209-499-793","","exclude","new_exclude","Although the abstract explicitly concerns aquaculture, it identifies the relevant fish only as generic “salmonid,” not an eligible salmon or rainbow trout species."
"032-268-995-680-41X","","exclude","new_exclude","The record concerns acclimatization and attempted creation of self-reproducing populations for commercial value, not commercial aquaculture, and explicitly involves introduction/restocking contexts."
"032-344-923-564-649","","retain","new_retain","The study explicitly concerns rainbow trout in commercial fish pens, establishing both an eligible species and commercial aquaculture context."
"032-510-164-012-94X","","exclude","new_exclude","Although the study concerns Chinook salmon, it examines sperm competition and seminal fluid without an established commercial aquaculture context; farming is mentioned only as background or a possible application."
"032-612-663-128-776","","exclude","new_exclude","The study concerns Arctic charr (Salvelinus alpinus), an ineligible species; the mention of Salmo salar is only comparative, despite explicit aquaculture context."
"032-638-921-792-65X","","retain","new_retain","The record explicitly concerns rainbow trout and describes applications enabling automation of aquaculture production processes."
"032-681-054-792-021","","retain","new_retain","The study explicitly examines rainbow trout strains under regional aquaculture conditions and identifies them as commercially important production fish, establishing both eligible species and aquaculture relevance."
"032-716-782-081-655","","retain","new_retain","The title and abstract explicitly identify rainbow trout and evaluate growth and dietary protein utilization under experimental feeding, with the aquaculture-focused journal supporting aquaculture relevance."
"032-903-589-917-928","","exclude","new_exclude","Although aquaculture production is explicit, the study concerns vaccines for generic salmonids and does not identify an eligible salmon or rainbow trout species."
"033-316-792-307-690","","exclude","new_exclude","The record mentions only unspecified “salmonid species” as examples of aquaculture introductions and does not establish an eligible salmon species or substantive salmon-aquaculture focus."
"033-383-526-406-311","","retain","new_retain","The title explicitly identifies rainbow trout (Oncorhynchus mykiss) in Swiss aquaculture, establishing both eligible species and aquaculture context."
"033-412-777-853-992","","retain","new_retain","The study explicitly concerns rainbow trout and isolates collected from fish on different farms, establishing eligible species and aquaculture context."
"033-520-868-378-849","","exclude","new_exclude","The study examines Eleginops maclovinus and refers only to generic salmonid cages, without identifying an eligible salmon species or explicitly establishing salmon farming as the relevant activity."
"033-978-436-962-827","","exclude","new_exclude","Although rainbow trout is an eligible species, the study concerns recreational-fishing media mentions and does not meaningfully investigate commercial aquaculture."
"034-148-390-607-46X","","retain","new_retain","The record explicitly concerns rainbow trout and VHSV impacts on the rainbow trout industry, establishing relevance to commercial aquaculture."
"034-524-932-633-096","","retain","new_retain","Rainbow trout is explicitly identified as a representative species, and the study concerns FDA drug approvals and production in US aquaculture."
"034-568-019-831-337","","exclude","new_exclude","Although Oncorhynchus mykiss is identified, this is an experimental cage eDNA study in a fish-free river with no commercial aquaculture or production context."
